HS부호,적용시작일자,적용종료일자,한글품목명,영문품목명,한국표준무역분류명,수량단위최대단가,중량단위최대단가,수량단위코드,중량단위코드,수출성질코드,수입성질코드,품목규격명,필수규격명,참고규격명,규격설명,규격사항내용,성질통합분류코드,성질통합분류코드명
2905229000,2002-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2905290000,2002-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2905310000,2002-01-01,2022-12-31,에틸렌글리콜(에탄디올),Ethylene glycol (ethanediol),,,,,KG,41301,26401,,,,,,25010201,(석유화학섬유원료)
2905320000,2002-01-01,2022-12-31,"프로필렌글리콜(프로판-1,2-디올)","Propylene glycol (propane-1,2-diol)",,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2905391000,2002-01-01,2022-12-31,"1,4-부탄디올","1,4-Butanediol",,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2905392000,2002-01-01,2022-12-31,네오펜틸 글리콜,Neopentyl glycol,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2905399000,2002-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2905410000,2002-01-01,2022-12-31,"2-에틸-2-(히드록시메틸)프로판-1,3-디올(트리메틸올프로판)","2-Ethyl-2-(hydroxymethyl)propane-1,3-diol (trimethylolpropane)",,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2905420000,2002-01-01,2022-12-31,펜타에리트리톨,Pentaerythritol,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2905430000,2002-01-01,2022-12-31,만니톨,Mannitol,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2905440000,2002-01-01,2022-12-31,디-글루시톨(소르비톨),D-glucitol (sorbitol),,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2905450000,2002-01-01,2022-12-31,글리세롤,Glycerol,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2905490000,2002-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2905510000,2002-01-01,2022-12-31,에스클로비놀(INN),Ethchlorvynol (INN),,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
2905590000,2002-01-01,2022-12-31,기타,Other,,,,,KG,41301,26901,,,,,,25030201,(유기화합물)
